360browser.exe,0xb896e0e1
AllocateUserPhysicalPagesNumaW,0x77f1138d
AllowSetForegroundWindow,0xd8209aa7
AllowSetForegroundWindowA,0x9bb3885a
AllowSetForegroundWindowW,0x6f673d0b
AlphaBlend,0x537a9084
AlphaBlendA,0x395fa322
AlphaBlendW,0xcd8b1673
AngleArc,0xa6bd445c
AngleArcA,0xb1a23e10
AngleArcW,0x45768b41
AnimatePalette,0x49f626dc
AnimatePaletteA,0x5cf5f652
AnimatePaletteW,0xa8214303
AnimateWindow,0x268aa240
AnimateWindowA,0xa52355b9
AnimateWindowW,0x51f7e0e8
AnyPopup,0x7a5bcaea
AnyPopupA,0x937cce27
AnyPopupW,0x67a87b76
AppendMenu,0xb5b0c0f9
AppendMenuA,0x170d64f3
AppendMenuW,0xe3d9d1a2
ApplicationRecoveryFinished,0x921b9e51
ApplicationRecoveryFinishedA,0xcf27e477
ApplicationRecoveryFinishedW,0x3bf35126
ApplicationRecoveryInProgress,0x626cb71e
ApplicationRecoveryInProgressA,0x29b4cf5f
ApplicationRecoveryInProgressW,0xdd607a0e
Arc,0x47ab1573
ArcA,0x1a921518
ArcW,0xee46a049
ArcTo,0x2bcc7f13
ArcToA,0x574c132a
ArcToW,0xa398a67b
AreFileApisANSI,0xca0a998b
AreFileApisANSIA,0xa979ceba
AreFileApisANSIW,0x5dad7beb
ArrangeIconicWindows,0xd5099455
ArrangeIconicWindowsA,0xc80d3264
ArrangeIconicWindowsW,0x3cd98735
AssignProcessToJobObject,0x7aa21c0a
AssignProcessToJobObjectA,0x3376d589
AssignProcessToJobObjectW,0xc7a260d8
AttachConsole,0x3acfd523
AttachConsoleA,0x7184202c
AttachConsoleW,0x8550957d
AttachThreadInput,0x35ab921f
AttachThreadInputA,0x5ee438ec
AttachThreadInputW,0xaa308dbd
AvQuerySystemResponsiveness,0xfb7756ff
AvQuerySystemResponsivenessA,0xfe200650
AvQuerySystemResponsivenessW,0xaf4b301
AvRevertMmThreadCharacteristics,0x7d5c660c
AvRevertMmThreadCharacteristicsA,0xda128ec6
AvRevertMmThreadCharacteristicsW,0x2ec63b97
AvRtCreateThreadOrderingGroup,0x5c67e3e3
AvRtCreateThreadOrderingGroupA,0xea864aaa
AvRtCreateThreadOrderingGroupW,0x1e52fffb
AvRtCreateThreadOrderingGroupEx,0xde591f3b
AvRtCreateThreadOrderingGroupExA,0x620c2eb0
AvRtCreateThreadOrderingGroupExW,0x96d89be1
AvRtDeleteThreadOrderingGroup,0x1b2f6df3
AvRtDeleteThreadOrderingGroupA,0xf7761240
AvRtDeleteThreadOrderingGroupW,0x3a2a711
AvRtJoinThreadOrderingGroup,0xc6c72c65
AvRtJoinThreadOrderingGroupA,0xeec7cc70
AvRtJoinThreadOrderingGroupW,0x1a137921
AvRtLeaveThreadOrderingGroup,0xa79f1cdd
AvRtLeaveThreadOrderingGroupA,0x2b1caffe
AvRtLeaveThreadOrderingGroupW,0xdfc81aaf
AvRtWaitOnThreadOrderingGroup,0x8a91208e
AvRtWaitOnThreadOrderingGroupA,0xd953a18c
AvRtWaitOnThreadOrderingGroupW,0x2d8714dd
AvSetMmMaxThreadCharacteristics,0x9118d7a4
AvSetMmMaxThreadCharacteristicsA,0x2f3e1ad
AvSetMmMaxThreadCharacteristicsW,0xf62754fc
AvSetMmThreadCharacteristics,0x1f6d2ec9
AvSetMmThreadCharacteristicsA,0x317e89b1
AvSetMmThreadCharacteristicsW,0xc5aa3ce0
AvSetMmThreadPriority,0x53b6e99f
AvSetMmThreadPriorityA,0xb33aa6b7
AvSetMmThreadPriorityW,0x47ee13e6
BackupEventLog,0x5263d56c
BackupEventLogA,0x978fd02d
BackupEventLogW,0x635b657c
BackupRead,0x5e14d8b3
BackupReadA,0x81ef6865
BackupReadW,0x753bdd34
BackupSeek,0x127b6743
BackupSeekA,0x3c1ef5c6
BackupSeekW,0xc8ca4097
BackupWrite,0xfc132f0b
BackupWriteA,0x44f7542c
BackupWriteW,0xb023e17d
Beep,0x16caa8bf
BeepA,0x8811fa3e
BeepW,0x7cc54f6f
BeginDeferWindowPos,0x9c382427
BeginDeferWindowPosA,0x764f13c4
BeginDeferWindowPosW,0x829ba695
BeginNtmsDeviceChangeDetection,0x69f7050d
BeginNtmsDeviceChangeDetectionA,0xad011533
BeginNtmsDeviceChangeDetectionW,0x59d5a062
BeginPaint,0xc956e9b0
BeginPaintA,0x18717bee
BeginPaintW,0xeca5cebf
BeginPath,0x43ac8f08
BeginPathA,0xdd41ba36
BeginPathW,0x29950f67
BeginUpdateResource,0x92441050
BeginUpdateResourceA,0xb8208b6f
BeginUpdateResourceW,0x4cf43e3e
Bind,0xe6fe5c6d
BindA,0xe03c7d32
BindW,0x14e8c863
BindIoCompletionCallback,0xe6ddd5c0
BindIoCompletionCallbackA,0x485b81ee
BindIoCompletionCallbackW,0xbc8f34bf
BitBlt,0x6e13e013
BitBltA,0x5709ccb5
BitBltW,0xa3dd79e4
BlockInput,0xcdff3c63
BlockInputA,0x7af5155
BlockInputW,0xf37be404
BringWindowToTop,0xc146cc88
BringWindowToTopA,0x307bd355
BringWindowToTopW,0xc4af6604
BroadcastSystemMessage,0xfcab6fd0
BroadcastSystemMessageA,0x55f6e730
BroadcastSystemMessageW,0xa1225261
BroadcastSystemMessageEx,0xce3c15cc
BroadcastSystemMessageExA,0x41c52c05
BroadcastSystemMessageExW,0xb5119954
BufferCallback,0xa58ffde1
BufferCallbackA,0x471c398
BufferCallbackW,0xf0a576c9
BuildCommDCB,0xfb46b5d5
BuildCommDCBA,0x259bfe65
BuildCommDCBW,0xd14f4b34
BuildCommDCBAndTimeouts,0x32642494
BuildCommDCBAndTimeoutsA,0x2489adf2
BuildCommDCBAndTimeoutsW,0xd05d18a3
CBTProc,0xcd2a86e0
CBTProcA,0x731e5675
CBTProcW,0x87cae324
CallMsgFilter,0xa7688041
CallMsgFilterA,0xd2a5870d
CallMsgFilterW,0x2671325c
CallNamedPipe,0x67c6725c
CallNamedPipeA,0xb1634526
CallNamedPipeW,0x45b7f077
CallNextHookEx,0xb5fbe9e2
CallNextHookExA,0x9d68e636
CallNextHookExW,0x69bc5367
CallNtPowerInformation,0x2a051f29
CallNtPowerInformationA,0x914103f8
CallNtPowerInformationW,0x6595b6a9
CallWindowProc,0x41f688b7
CallWindowProcA,0x869d4e2c
CallWindowProcW,0x7249fb7d
CallWndProc,0x3583fa80
CallWndProcA,0x3e549e51
CallWndProcW,0xca802b00
CallWndRetProc,0x99df3068
CallWndRetProcA,0x9029a8d1
CallWndRetProcW,0x64fd1d80
CallbackMayRunLong,0x28114c57
CallbackMayRunLongA,0x26fe4b90
CallbackMayRunLongW,0xd22afec1
CanUserWritePwrScheme,0x234c87c1
CanUserWritePwrSchemeA,0x3f99202a
CanUserWritePwrSchemeW,0xcb4d957b
CancelDC,0x356891df
CancelDCA,0xc580395f
CancelDCW,0x31548c0e
CancelIo,0xb21e8371
CancelIoA,0xf469c1a2
CancelIoW,0xbd74f3
CancelIoEx,0xd09c7882
CancelIoExA,0xd0bfe0ff
CancelIoExW,0x246b55ae
CancelNtmsLibraryRequest,0x76d2d79c
CancelNtmsLibraryRequestA,0x2a169333
CancelNtmsLibraryRequestW,0xdec22662
CancelNtmsOperatorRequest,0xf40db2fc
CancelNtmsOperatorRequestA,0x67262d0e
CancelNtmsOperatorRequestW,0x93f2985f
CancelSynchronousIo,0x578b4580
CancelSynchronousIoA,0x3e3696ee
CancelSynchronousIoW,0xcae223bf
CancelThreadpoolIo,0x8900d70f
CancelThreadpoolIoA,0x43ef83cd
CancelThreadpoolIoW,0xb73b369c
CancelWaitableTimer,0x7ae9be95
CancelWaitableTimerA,0x53c610fe
CancelWaitableTimerW,0xa712a5af
CascadeWindows,0xb373794b
CascadeWindowsA,0x326475ea
CascadeWindowsW,0xc6b0c0bb
CertOpenSystemStore,0xb57ffc28
CertOpenSystemStoreA,0xe6d9498d
CertOpenSystemStoreW,0x120dfcdc
ChangeClipboardChain,0x8e426d3e
ChangeClipboardChainA,0x1236c14d
ChangeClipboardChainW,0xe6e2741c
ChangeDisplaySettings,0x2e416b53
ChangeDisplaySettingsA,0x2195dfae
ChangeDisplaySettingsW,0xd5416aff
ChangeDisplaySettingsEx,0xd9ffc8b7
ChangeDisplaySettingsExA,0x8605476c
ChangeDisplaySettingsExW,0x72d1f23d
ChangeNtmsMediaType,0x503a4e47
ChangeNtmsMediaTypeA,0x3b3170f6
ChangeNtmsMediaTypeW,0xcfe5c5a7
ChangeServiceConfig,0xb46baf28
ChangeServiceConfigA,0xe6d85dde
ChangeServiceConfigW,0x120ce88f
ChangeServiceConfig2,0x2fd47d58
ChangeServiceConfig2A,0xb6469330
ChangeServiceConfig2W,0x42922661
ChangeTimerQueueTimer,0xa87e8e38
ChangeTimerQueueTimerA,0xfb73589b
ChangeTimerQueueTimerW,0xfa7edca
ChangeWindowMessageFilter,0x8a92de43
ChangeWindowMessageFilterA,0x3c861c7f
ChangeWindowMessageFilterW,0xc852a92e
CharLower,0x604ad8c3
CharLowerA,0xd1d44759
CharLowerW,0x2500f208
CharLowerBuff,0x75530eea
CharLowerBuffA,0x9373c6e3
CharLowerBuffW,0x67a773b2
CharNext,0xbf8a17ab
CharNextA,0x92626efc
CharNextW,0x66b6dbad
CharNextExA,0xb2ee4857
CharNextExAA,0x2664b494
CharNextExAW,0xd2b001c5
CharPrev,0x7478fc2
CharPrevA,0xa6b47a98
CharPrevW,0x5260cfc9
CharPrevExA,0xa9a5065f
CharPrevExAA,0x28a477e8
CharPrevExAW,0xdc70c2b9
CharToOem,0x97aabd5d
CharToOemA,0xc694197f
CharToOemW,0x3240ac2e
CharToOemBuff,0x1b7705e5
CharToOemBuffA,0x3a2ff79
CharToOemBuffW,0xf7764a28
CharUpper,0x8f7c7c
CharUpperA,0x8a6a2ce0
CharUpperW,0x7ebe99b1
CharUpperBuff,0x150ce7c9
CharUpperBuffA,0x3174e878
CharUpperBuffW,0xc5a05d29
CheckDlgButton,0x2e102b44
CheckDlgButtonA,0xa2460b29
CheckDlgButtonW,0x5692be78
CheckMenuItem,0x12bfdbb6
CheckMenuItemA,0xf1c937e9
CheckMenuItemW,0x51d82b8
CheckMenuRadioItem,0xbc21e22e
CheckMenuRadioItemA,0xfb3b2a6
CheckMenuRadioItemW,0xfb6707f7
CheckNameLegalDOS8Dot3,0x3b73fd49
CheckNameLegalDOS8Dot3A,0xdce21442
CheckNameLegalDOS8Dot3W,0x2836a113
CheckRadioButton,0xa5774bdc
CheckRadioButtonA,0x5c19773f
CheckRadioButtonW,0xa8cdc26e
CheckRemoteDebuggerPresent,0xfc1fda83
CheckRemoteDebuggerPresentA,0xa79453cb
CheckRemoteDebuggerPresentW,0x5340e69a
ChildWindowFromPoint,0xe628de18
ChildWindowFromPointA,0xc0532e03
ChildWindowFromPointW,0x34879b52
ChildWindowFromPointEx,0x7179d113
ChildWindowFromPointExA,0x5716a684
ChildWindowFromPointExW,0xa3c213d5
Chord,0x33be3840
ChordA,0xa5366123
ChordW,0x51e2d472
ClaimMediaLabel,0xaa703918
ClaimMediaLabelA,0xc01f76e4
ClaimMediaLabelW,0x34cbc3b5
CleanNtmsDrive,0xa0cc9648
CleanNtmsDriveA,0xab7e9bbf
CleanNtmsDriveW,0x5faa2eee
ClearCommBreak,0x107dfbba
ClearCommBreakA,0xf87db9e2
ClearCommBreakW,0xca90cb3
ClearCommError,0x41dc1711
ClearCommErrorA,0xb928626e
ClearCommErrorW,0x4dfcd73f
ClearEventLog,0xdf089aa8
ClearEventLogA,0xb0bbdcb
ClearEventLogW,0xffdf089a
ClientToScreen,0x4b830624
ClientToScreenA,0xef91f95c
ClientToScreenW,0x1b454c0d
ClipCursor,0x7c8d03c5
ClipCursorA,0x38ab25b7
ClipCursorW,0xcc7f90e6
CloseClipboard,0x99c1926c
CloseClipboardA,0x9744726a
CloseClipboardW,0x6390c73b
CloseDesktop,0x4c9f4ae4
CloseDesktopA,0x74f227a0
CloseDesktopW,0x802692f1
CloseEnhMetaFile,0x5cd49463
CloseEnhMetaFileA,0x73e7afd
CloseEnhMetaFileW,0xf3eacfac
CloseEventLog,0xd65dbc41
CloseEventLogA,0xd2d4b231
CloseEventLogW,0x26000760
CloseFigure,0xe448657
CloseFigureA,0x26d81e5a
CloseFigureW,0xd20cab0b
CloseHandle,0xb09315f4
CloseHandleA,0x69b93b9b
CloseHandleW,0x9d6d8eca
CloseMetaFile,0xb8d3e186
CloseMetaFileA,0xd7ba6b7f
CloseMetaFileW,0x236ede2e
CloseNtmsNotification,0xdc0a02ce
CloseNtmsNotificationA,0xafd97b3e
CloseNtmsNotificationW,0x5b0dce6f
CloseNtmsSession,0xf7ba016a
CloseNtmsSessionA,0x7e49accc
CloseNtmsSessionW,0x8a9d199d
ClosePrinter,0xc8b236ad
ClosePrinterA,0x7b76f3e8
ClosePrinterW,0x8fa246b9
ClosePrivateNamespace,0x7dbd7a25
ClosePrivateNamespaceA,0x98a0f7b6
ClosePrivateNamespaceW,0x6c7442e7
CloseServiceHandle,0x7075cfdf
CloseServiceHandleA,0xc5c52401
CloseServiceHandleW,0x31119150
CloseThreadWaitChainSession,0x263d2213
CloseThreadWaitChainSessionA,0x5741e277
CloseThreadWaitChainSessionW,0xa3955726
CloseThreadpool,0xb0d9e13b
CloseThreadpoolA,0x6262ae4e
CloseThreadpoolW,0x96b61b1f
CloseThreadpoolCleanupGroup,0x6860ab28
CloseThreadpoolCleanupGroupA,0xe60456da
CloseThreadpoolCleanupGroupW,0x12d0e38b
CloseThreadpoolCleanupGroupMembers,0x6234d514
CloseThreadpoolCleanupGroupMembersA,0xc9617e23
CloseThreadpoolCleanupGroupMembersW,0x3db5cb72
CloseThreadpoolIo,0x56d01775
CloseThreadpoolIoA,0xf3e0cb2f
CloseThreadpoolIoW,0x7347e7e
CloseThreadpoolTimer,0x75befed3
CloseThreadpoolTimerA,0xcc76a31b
CloseThreadpoolTimerW,0x38a2164a
CloseThreadpoolWait,0xc94d2436
CloseThreadpoolWaitA,0x1caa4636
CloseThreadpoolWaitW,0xe87ef367
CloseThreadpoolWork,0xe7edcf53
CloseThreadpoolWorkA,0x215c730a
CloseThreadpoolWorkW,0xd588c65b
CloseTrace,0x969a4d95
CloseTraceA,0x532a630d
CloseTraceW,0xa7fed65c
CloseWindow,0xaaf7ccf0
CloseWindowA,0x6ece9b5b
CloseWindowW,0x9a1a2e0a
CloseWindowStation,0x8a125017
CloseWindowStationA,0x5080091c
CloseWindowStationW,0xa454bc4d
CombineRgn,0xa895a968
CombineRgnA,0x9018e248
CombineRgnW,0x64cc5719
CombineTransform,0x3bee2c77
CombineTransformA,0x1d839438
CombineTransformW,0xe9572169
CommConfigDialog,0x997fb46e
CommConfigDialogA,0x794aad60
CommConfigDialogW,0x8d9e1831
CommandLineToArgvW,0x74baef5f
CommandLineToArgvWA,0x28796801
CommandLineToArgvWW,0xdcaddd50
CompareFileTime,0xff41d779
CompareFileTimeA,0xfaff16c4
CompareFileTimeW,0xe2ba395
CompareString,0x6ccf604d
CompareStringA,0xdbd86cc6
CompareStringW,0x2f0cd997
ConfigurePort,0xcacf995f
ConfigurePortA,0x28c71d77
ConfigurePortW,0xdc13a826
Connect,0xbb72c083
ConnectA,0xa7d33ed1
ConnectW,0x53078b80
ConnectNamedPipe,0x829a447a
ConnectNamedPipeA,0x638b9ced
ConnectNamedPipeW,0x975f29bc
ConnectToPrinterDlg,0x17cf94e5
ConnectToPrinterDlgA,0x3ae47e8
ConnectToPrinterDlgW,0xf77af2b9
ContinueDebugEvent,0xd8e77e49
ContinueDebugEventA,0xdc0180c1
ContinueDebugEventW,0x28d53590
ControlCallback,0xdc1d4a3f
ControlCallbackA,0x6563aefc
ControlCallbackW,0x91b71bad
ControlService,0xf16e8f5
ControlServiceA,0x1e018ef0
ControlServiceW,0xead53ba1
ControlServiceEx,0x55132015
ControlServiceExA,0xbe516940
ControlServiceExW,0x4a85dc11
ControlTrace,0x47600ff3
ControlTraceA,0xf72a5d22
ControlTraceW,0x3fee873
ConvertDefaultLocale,0x7c8a8b8
ConvertDefaultLocaleA,0x16646d9d
ConvertDefaultLocaleW,0xe2b0d8cc
ConvertFiberToThread,0xfc9ce4a4
ConvertFiberToThreadA,0x29e659e
ConvertFiberToThreadW,0xf64ad0cf
ConvertSidToStringSidW,0xecac43ec
ConvertSidToStringSidWA,0x7a899c9b
ConvertSidToStringSidWW,0x8e5d29ca
ConvertThreadToFiber,0xa5d373b5
ConvertThreadToFiberA,0x68770afb
ConvertThreadToFiberW,0x9ca3bfaa
ConvertThreadToFiberEx,0xc2b78f19
ConvertThreadToFiberExA,0xb77081c4
ConvertThreadToFiberExW,0x43a43495
CopyAcceleratorTable,0x1673ac49
CopyAcceleratorTableA,0xdccf1413
CopyAcceleratorTableW,0x281ba142
CopyCursor,0xb36c50d3
CopyCursorA,0xccb071b5
CopyCursorW,0x3864c4e4
CopyEnhMetaFile,0x89faf69
CopyEnhMetaFileA,0xe7bfd8d8
CopyEnhMetaFileW,0x136b6d89
CopyFile,0x4dc7ef26
CopyFileA,0x199dc99
CopyFileW,0xf54d69c8
CopyFileEx,0x616261bb
CopyFileExA,0x8f0b96ee
CopyFileExW,0x7bdf23bf
CopyIcon,0xa4ccf0ed
CopyIconA,0xdc6ccbe
CopyIconW,0xf91279ef
CopyImage,0xa46c91f
CopyImageA,0x5edbd5b7
CopyImageW,0xaa0f60e6
CopyMemory,0x9c7e0e68
CopyMemoryA,0x902c09ef
CopyMemoryW,0x64f8bcbe
CopyMetaFile,0x753d2e1
CopyMetaFileA,0x4d31fb7
CopyMetaFileW,0xf007aae6
CopyProgressRoutine,0xd0ccd605
CopyProgressRoutineA,0xa363a6d2
CopyProgressRoutineW,0x57b71383
CopyRect,0x768eeab7
CopyRectA,0x86aa364e
CopyRectW,0x727e831f
CountClipboardFormats,0x4685d145
CountClipboardFormatsA,0xd529ae45
CountClipboardFormatsW,0x21fd1b14
CounterPathCallBack,0x26a72cc
CounterPathCallBackA,0x41097a62
CounterPathCallBackW,0xb5ddcf33
CreateAcceleratorTable,0xdf38e79
CreateAcceleratorTableA,0xfa0da49d
CreateAcceleratorTableW,0xed911cc
CreateBitmap,0x4927149f
CreateBitmapA,0xb320374a
CreateBitmapW,0x47f4821b
CreateBitmapIndirect,0x33d794cc
CreateBitmapIndirectA,0x4138c784
CreateBitmapIndirectW,0xb5ec72d5
CreateBoundaryDescriptor,0xb349f2d5
CreateBoundaryDescriptorA,0x25d3f122
CreateBoundaryDescriptorW,0xd1074473
CreateBrushIndirect,0x704827b4
CreateBrushIndirectA,0x1fa5a139
CreateBrushIndirectW,0xeb711468
CreateCaret,0x1864b1be
CreateCaretA,0xff1864b1
CreateCaretW,0xbccd1e0
CreateCompatibleBitmap,0x580c6af4
CreateCompatibleBitmapA,0x6951a4e4
CreateCompatibleBitmapW,0x9d8511b5
CreateCompatibleDC,0x3721960
CreateCompatibleDCA,0x9e688dca
CreateCompatibleDCW,0x6abc389b
CreateConsoleScreenBuffer,0xd4fc3af9
CreateConsoleScreenBufferA,0x176c2809
CreateConsoleScreenBufferW,0xe3b89d58
CreateCursor,0x643520bd
CreateCursorA,0x666d649a
CreateCursorW,0x92b9d1cb
CreateDC,0x942dbf5a
CreateDCA,0x58f30bde
CreateDCW,0xac27be8f
CreateDIBPatternBrush,0x68ff6a9a
CreateDIBPatternBrushA,0xc36b1bbb
CreateDIBPatternBrushW,0x37bfaeea
CreateDIBPatternBrushPt,0x8ac378a7
CreateDIBPatternBrushPtA,0x9be16bb8
CreateDIBPatternBrushPtW,0x6f35dee9
CreateDIBSection,0x69794b15
CreateDIBSectionA,0xbe6d032b
CreateDIBSectionW,0x4ab9b67a
CreateDIBitmap,0xdc71d74f
CreateDIBitmapA,0x3566b35d
CreateDIBitmapW,0xc1b2060c
CreateDesktop,0xb6102ef8
CreateDesktopA,0x6009f48b
CreateDesktopW,0x94dd41da
CreateDesktopEx,0x92ba80db
CreateDesktopExA,0xc24a2f57
CreateDesktopExW,0x369e9a06
CreateDialog,0xe42b9251
CreateDialogA,0xcf51d47b
CreateDialogW,0x3b85612a
CreateDialogIndirect,0x4848855d
CreateDialogIndirectA,0xc64bfb47
CreateDialogIndirectW,0x329f4e16
CreateDialogIndirectParam,0x3916078b
CreateDialogIndirectParamA,0xa98ad224
CreateDialogIndirectParamW,0x5d5e6775
CreateDialogParam,0x790b0330
CreateDialogParamA,0xf579a524
CreateDialogParamW,0x1ad1075
CreateDirectory,0xfcca10b3
CreateDirectoryA,0x814db6ad
CreateDirectoryW,0x759903fc
CreateDirectoryEx,0x40564164
CreateDirectoryExA,0x99466d8b
CreateDirectoryExW,0x6d92d8da
CreateDiscardableBitmap,0x688edf14
CreateDiscardableBitmapA,0xc96bc429
CreateDiscardableBitmapW,0x3dbf7178
CreateEllipticRgn,0x2f1c035
CreateEllipticRgnA,0x8568ab68
CreateEllipticRgnW,0x71bc1e39
CreateEllipticRgnIndirect,0xbc92deb4
CreateEllipticRgnIndirectA,0x1f697bc0
CreateEllipticRgnIndirectW,0xebbdce91
CreateEnhMetaFile,0xe8b6803e
CreateEnhMetaFileA,0x125035a0
CreateEnhMetaFileW,0xe68480f1
CreateEvent,0xa0774706
CreateEventA,0x3a1a4cf9
CreateEventW,0xcecef9a8
CreateEventEx,0x2ceb8373
CreateEventExA,0x1af9558e
CreateEventExW,0xee2de0df
CreateFiber,0xe0751064
CreateFiberA,0x99e64eda
CreateFiberW,0x6d32fb8b
CreateFiberEx,0x8e2f0e03
CreateFiberExA,0x4a5ee03f
CreateFiberExW,0xbe8a556e
CreateFile,0x311027d0
CreateFileA,0x553b5c78
CreateFileW,0xa1efe929
CreateFileMapping,0x1f462b9b
CreateFileMappingA,0xb41b926c
CreateFileMappingW,0x40cf273d
CreateFileMappingNuma,0x9721345f
CreateFileMappingNumaA,0x289af3da
CreateFileMappingNumaW,0xdc4e468b
CreateFont,0x6d1b1912
CreateFontA,0x200df4da
CreateFontW,0xd4d9418b
CreateFontIndirect,0xddc72b15
CreateFontIndirectA,0xbed9bd4b
CreateFontIndirectW,0x4a0d081a
CreateFontIndirectEx,0x9009222
CreateFontIndirectExA,0x6b0dffd
CreateFontIndirectExW,0xf2646aac
CreateHalftonePalette,0x72c34f26
CreateHalftonePaletteA,0x1a6d839
CreateHalftonePaletteW,0xf5726d68
CreateHardLink,0xb40ddb56
CreateHardLinkA,0x51656791
CreateHardLinkW,0xa5b1d2c0
CreateHatchBrush,0xded19c42
CreateHatchBrushA,0x4bd56fab
CreateHatchBrushW,0xbf01dafa
CreateIC,0x2183c117
CreateICA,0x502b988d
CreateICW,0xa4ff2ddc
CreateIcon,0xd81b381b
